Bank Name,Bank ID,Account Number,Entity ID,Entity Name
First National Bank,011,8000ECA90,E00000001,Corporation #10011
First National Bank,011,800059120,E00000002,Partnership #10012
Midwest Credit Union,001120,8006AA910,E00000003,Corporation #10013
Atlantic Savings,01217,8006AD4E0,E00000004,Corporation #10014
Atlantic Savings,01217,803A10C50,E00000005,Partnership #10015
Harbor Bank,022,9000ECA90,E00000006,Corporation #10016
Pacific Trust,014620,802D4B730,E00000017,Corporation #10017
Commerce Bank,001110,8016B0EB0,E00000008,Corporation #10018
Valley Bank,004790,80281F360,E00000009,Partnership #10019
Riverside Bank,0224,8057CBF90,E00000010,Corporation #10020
Westport Financial,02201,8001AAA10,E00000011,Corporation #10021
Northgate Bank,03301,8002BBB20,E00000012,Partnership #10022
Southline Credit,04401,8003CCC30,E00000013,Corporation #10023
Scatter Bank,SCATTER,SC001,E00000014,Corporation #10024
Gather Bank,GATHER,GC001,E00000015,Corporation #10025
Node Bank 1,01001,T001AAAAA,E00000016,Partnership #10026
Node Bank 2,01002,T002BBBBB,E00000017,Partnership #10027
Node Bank 3,01003,T003CCCCC,E00000018,Partnership #10028
Node Bank 4,01004,T004DDDDD,E00000019,Partnership #10029
Node Bank 5,01005,T005EEEEE,E00000020,Partnership #10030
Eastern Trust,022481,806B5D9B0,E00000021,Corporation #10031
Lakeside Bank,0116342,806B6CB00,E00000022,Corporation #10032
Bayshore Financial,0114721,806B69F10,E00000023,Partnership #10033
Crestview Bank,012063,806B635D0,E00000024,Corporation #10034
Horizon Credit,0117694,806B7CF50,E00000025,Partnership #10035
Uptown Savings,0243166,81470DCF0,E00000026,Corporation #10036
